 ZONE F=POINT, I=         128 , J=         250
0.000000E+00  0.305251E-03  0.100000E+01             1
0.312500E+00  0.305251E-03  0.100000E+01             2
0.625000E+00  0.305251E-03  0.100000E+01             3
0.937500E+00  0.305251E-03  0.100000E+01             4
0.125000E+01  0.305251E-03  0.100000E+01             5
0.156250E+01  0.305251E-03  0.100000E+01             6
0.187500E+01  0.305251E-03  0.100000E+01             7
0.218750E+01  0.305251E-03  0.100000E+01             8
0.250000E+01  0.305251E-03  0.100000E+01             9
0.281250E+01  0.305251E-03  0.100000E+01            10
0.312500E+01  0.305251E-03  0.100000E+01            11
0.343750E+01  0.305251E-03  0.100000E+01            12
0.375000E+01  0.305251E-03  0.100000E+01            13
0.406250E+01  0.305251E-03  0.100000E+01            14
0.437500E+01  0.305251E-03  0.100000E+01            15
0.468750E+01  0.305251E-03  0.100000E+01            16
0.500000E+01  0.305251E-03  0.100000E+01            17
0.531250E+01  0.305251E-03  0.100000E+01            18
0.562500E+01  0.305251E-03  0.100000E+01            19
0.593750E+01  0.305251E-03  0.100000E+01            20
0.625000E+01  0.305251E-03  0.100000E+01            21
0.656250E+01  0.305251E-03  0.100000E+01            22
0.687500E+01  0.305251E-03  0.100000E+01            23
0.718750E+01  0.305251E-03  0.100000E+01            24
0.750000E+01  0.305251E-03  0.100000E+01            25
0.781250E+01  0.305251E-03  0.100000E+01            26
0.812500E+01  0.305251E-03  0.100000E+01            27
0.843750E+01  0.305251E-03  0.100000E+01            28
0.875000E+01  0.305251E-03  0.100000E+01            29
0.906250E+01  0.305251E-03  0.100000E+01            30
0.937500E+01  0.305251E-03  0.100000E+01            31
0.968750E+01  0.305251E-03  0.100000E+01            32
0.100000E+02  0.305251E-03  0.100000E+01            33
0.103125E+02  0.305251E-03  0.100000E+01            34
0.106250E+02  0.305251E-03  0.100000E+01            35
0.109375E+02  0.305251E-03  0.100000E+01            36
0.112500E+02  0.305251E-03  0.100000E+01            37
0.115625E+02  0.305251E-03  0.100000E+01            38
0.118750E+02  0.305251E-03  0.100000E+01            39
0.121875E+02  0.305251E-03  0.100000E+01            40
0.125000E+02  0.305251E-03  0.100000E+01            41
0.128125E+02  0.305251E-03  0.100000E+01            42
0.131250E+02  0.305251E-03  0.100000E+01            43
0.134375E+02  0.305251E-03  0.100000E+01            44
0.137500E+02  0.305251E-03  0.100000E+01            45
0.140625E+02  0.305251E-03  0.100000E+01            46
0.143750E+02  0.305251E-03  0.100000E+01            47
0.146875E+02  0.305251E-03  0.100000E+01            48
0.150000E+02  0.305251E-03  0.100000E+01            49
0.153125E+02  0.305251E-03  0.100000E+01            50
0.156250E+02  0.305251E-03  0.100000E+01            51
0.159375E+02  0.305251E-03  0.100000E+01            52
0.162500E+02  0.305251E-03  0.100000E+01            53
0.165625E+02  0.305251E-03  0.100000E+01            54
0.168750E+02  0.305251E-03  0.100000E+01            55
0.171875E+02  0.305251E-03  0.100000E+01            56
0.175000E+02  0.305251E-03  0.100000E+01            57
0.178125E+02  0.305251E-03  0.100000E+01            58
0.181250E+02  0.305251E-03  0.100000E+01            59
0.184375E+02  0.305251E-03  0.100000E+01            60
0.187500E+02  0.305251E-03  0.100000E+01            61
0.190625E+02  0.305251E-03  0.100000E+01            62
0.193750E+02  0.305251E-03  0.100000E+01            63
0.196875E+02  0.305251E-03  0.100000E+01            64
0.200000E+02  0.305251E-03  0.100000E+01            65
0.203125E+02  0.305251E-03  0.100000E+01            66
0.206250E+02  0.305251E-03  0.100000E+01            67
0.209375E+02  0.305251E-03  0.100000E+01            68
0.212500E+02  0.305251E-03  0.100000E+01            69
0.215625E+02  0.305251E-03  0.100000E+01            70
0.218750E+02  0.305251E-03  0.100000E+01            71
0.221875E+02  0.305251E-03  0.100000E+01            72
0.225000E+02  0.305251E-03  0.100000E+01            73
0.228125E+02  0.305251E-03  0.100000E+01            74
0.231250E+02  0.305251E-03  0.100000E+01            75
0.234375E+02  0.305251E-03  0.100000E+01            76
0.237500E+02  0.305251E-03  0.100000E+01            77
0.240625E+02  0.305251E-03  0.100000E+01            78
0.243750E+02  0.305251E-03  0.100000E+01            79
0.246875E+02  0.305251E-03  0.100000E+01            80
0.250000E+02  0.305251E-03  0.100000E+01            81
0.253125E+02  0.305251E-03  0.100000E+01            82
0.256250E+02  0.305251E-03  0.100000E+01            83
0.259375E+02  0.305251E-03  0.100000E+01            84
0.262500E+02  0.305251E-03  0.100000E+01            85
0.265625E+02  0.305251E-03  0.100000E+01            86
0.268750E+02  0.305251E-03  0.100000E+01            87
0.271875E+02  0.305251E-03  0.100000E+01            88
0.275000E+02  0.305251E-03  0.100000E+01            89
0.278125E+02  0.305251E-03  0.100000E+01            90
0.281250E+02  0.305251E-03  0.100000E+01            91
0.284375E+02  0.305251E-03  0.100000E+01            92
0.287500E+02  0.305251E-03  0.100000E+01            93
0.290625E+02  0.305251E-03  0.100000E+01            94
0.293750E+02  0.305251E-03  0.100000E+01            95
0.296875E+02  0.305251E-03  0.100000E+01            96
0.300000E+02  0.305251E-03  0.100000E+01            97
0.303125E+02  0.305251E-03  0.100000E+01            98
0.306250E+02  0.305251E-03  0.100000E+01            99
0.309375E+02  0.305251E-03  0.100000E+01           100
0.312500E+02  0.305251E-03  0.100000E+01           101
0.315625E+02  0.305251E-03  0.100000E+01           102
0.318750E+02  0.305251E-03  0.100000E+01           103
0.321875E+02  0.305251E-03  0.100000E+01           104
0.325000E+02  0.305251E-03  0.100000E+01           105
0.328125E+02  0.305251E-03  0.100000E+01           106
0.331250E+02  0.305251E-03  0.100000E+01           107
0.334375E+02  0.305251E-03  0.100000E+01           108
0.337500E+02  0.305251E-03  0.100000E+01           109
0.340625E+02  0.305251E-03  0.100000E+01           110
0.343750E+02  0.305251E-03  0.100000E+01           111
0.346875E+02  0.305251E-03  0.100000E+01           112
0.350000E+02  0.305251E-03  0.100000E+01           113
0.353125E+02  0.305251E-03  0.100000E+01           114
0.356250E+02  0.305251E-03  0.100000E+01           115
0.359375E+02  0.305251E-03  0.100000E+01           116
0.362500E+02  0.305251E-03  0.100000E+01           117
0.365625E+02  0.305251E-03  0.100000E+01           118
0.368750E+02  0.305251E-03  0.100000E+01           119
0.371875E+02  0.305251E-03  0.100000E+01           120
0.375000E+02  0.305251E-03  0.100000E+01           121
0.378125E+02  0.305251E-03  0.100000E+01           122
0.381250E+02  0.305251E-03  0.100000E+01           123
0.384375E+02  0.305251E-03  0.100000E+01           124
0.387500E+02  0.305251E-03  0.100000E+01           125
0.390625E+02  0.305251E-03  0.100000E+01           126
0.393750E+02  0.305251E-03  0.100000E+01           127
0.396875E+02  0.305251E-03  0.100000E+01           128
0.000000E+00  0.101840E-02  0.100000E+01             1
0.312500E+00  0.101840E-02  0.100000E+01             2
0.625000E+00  0.101840E-02  0.100000E+01             3
